latitude,longitude,geohash,day,hour,month
51.034027607952034,-114.23346979956254,c3nf2,6,19,12
50.94877290358352,-114.03064527881392,c3ncv,6,18,12
51.06710440109158,-113.96331083719544,c3nfw,6,18,12
50.89175301556714,-114.09389522041488,c3nce,6,17,12
51.07791037138689,-113.98223781966836,c3nfw,6,16,12
51.11064868069449,-114.0492724036181,c3nfu,6,15,12
51.10244586808716,-114.14279507310856,c3nfd,6,11,12
50.97227529887392,-114.10191653108048,c3ncg,6,6,12
51.03794166930225,-113.95851505545753,c3nfq,6,2,12
50.94834192470249,-114.0339123168836,c3ncv,5,20,12
51.096147553675245,-114.04781392799258,c3nfs,5,20,12
51.09616370057741,-113.93727859385189,c3nfx,5,19,12
51.06681961319355,-114.08983548522076,c3nfe,5,18,12
50.99416483393632,-114.03923876311713,c3nfh,5,18,12
51.06226589726989,-113.95513267490584,c3nfq,5,18,12
50.99648034972833,-114.076306096563,c3nfh,5,17,12
51.01301365707069,-114.00683800794624,c3nfj,5,17,12
50.92604597912302,-113.93522590358742,c3ncx,5,17,12
51.183170108214846,-114.11115826266057,c3ng5,5,16,12
50.99774634889705,-114.07167772322305,c3nfh,5,16,12
51.00798088541564,-114.02570255902576,c3nfj,5,15,12
51.03784420854896,-113.91205933410296,c3nfr,5,14,12
51.13260225325808,-113.94730034164188,c3nfz,5,13,12
51.13249643667714,-113.94688297716591,c3nfz,5,13,12
51.00106005882824,-114.0320212305576,c3nfj,5,12,12
50.941209066378974,-114.02930435158056,c3ncv,5,10,12
50.91281616682396,-113.95184502164314,c3ncw,4,20,12
51.04802869697382,-114.03775982929352,c3nfm,4,20,12
51.04433380853152,-114.09917625779111,c3nf7,4,20,12
50.99497399729047,-114.07633639054642,c3nfh,4,20,12
51.03778827090241,-114.216531897775,c3nf2,4,17,12
51.04494642617245,-114.0680593015268,c3nfk,4,17,12
51.14306938348496,-113.9216459641614,c3nfz,4,17,12
51.00496262622406,-114.11808416758302,c3nf5,4,16,12
51.035730065890185,-114.00252478248996,c3nfm,4,15,12
51.081436439916445,-113.95938157786615,c3nfw,4,15,12
51.08145611194674,-113.9573196970834,c3nfw,4,15,12
51.0276773672545,-114.09468917625216,c3nf7,4,14,12
51.017687103498446,-114.16399048588178,c3nf4,4,14,12
51.15394224415935,-114.02162793504807,c3ngj,4,13,12
51.01534596713383,-113.99790273279032,c3nfj,4,13,12
51.13242593432408,-114.25742665403853,c3nfb,4,9,12
51.07524963123006,-114.11908763266092,c3nfe,4,8,12
50.90792782049041,-114.03642170935572,c3nct,4,7,12
51.05213681825652,-113.9829193204651,c3nfq,4,7,12
51.09759888075492,-114.04333562412268,c3nfs,4,6,12
50.9028720323948,-114.09831241957131,c3nce,4,5,12
51.0597027821948,-114.21140146660044,c3nf3,3,19,12
50.90685230769716,-114.11313431049965,c3nce,3,18,12
51.08985699736648,-114.03950110965994,c3nfs,3,17,12
51.13955127388302,-113.95248978104128,c3nfy,3,17,12
51.11584454451256,-114.06770764782684,c3nfu,3,17,12
51.07631641855944,-113.95850372591498,c3nfw,3,17,12
51.13729872366029,-114.24172682345268,c3nfb,3,16,12
51.14591566044184,-114.02971118973444,c3nfv,3,16,12
51.05964503293741,-113.93503139176644,c3nfr,3,15,12
51.06711963249234,-113.99258803117571,c3nfw,3,15,12
51.07714641892907,-114.00153851212912,c3nft,3,15,12
51.12521662021446,-113.93251750330948,c3nfz,3,15,12
51.15407486007644,-113.97027199237807,c3ngn,3,15,12
51.01017886131528,-114.0109901918788,c3nfj,3,14,12
51.00998878340049,-114.01134411621727,c3nfj,3,14,12
51.04740271456736,-114.09227242515442,c3nf7,3,14,12
51.02595849946953,-113.99977591350938,c3nfm,3,14,12
51.13129635764773,-113.92943302167129,c3nfz,3,14,12
50.93145660617216,-114.0272235088908,c3nct,3,10,12
51.13178179506209,-114.086742796219,c3nfg,3,10,12
51.09120904406808,-114.2095168916084,c3nf9,3,9,12
51.074345448342974,-114.1185567609659,c3nfe,3,9,12
51.074326578867336,-114.11854800821594,c3nfe,3,9,12
51.05263512477258,-114.16431969849542,c3nf6,3,8,12
51.03034268379465,-114.041088680749,c3nfk,3,6,12
51.04262449261462,-114.07148057660925,c3nfk,2,22,12
51.051942386306834,-113.9818312798292,c3nfq,2,22,12
51.06683975634161,-114.05993486097547,c3nfs,2,19,12
51.0867306392149,-114.00315145430046,c3nft,2,18,12
51.10148049736628,-113.93554803537948,c3nfx,2,18,12
51.00871867810505,-114.067897688979,c3nfh,2,18,12
51.04919107351429,-114.05535209205355,c3nfk,2,18,12
51.04136757381513,-114.09470909459486,c3nf7,2,18,12
50.861575849406535,-114.03368953782284,c3ncm,2,17,12
51.0624170996141,-114.05574063466196,c3nfk,2,17,12
50.95107505846324,-114.0945192148608,c3ncg,2,16,12
50.96496013282274,-114.06811732580611,c3ncu,2,15,12
51.09816602245581,-114.0411384866319,c3nfs,2,12,12
51.04971127069339,-114.0760509538282,c3nfk,2,12,12
51.04959250495055,-114.0715118390645,c3nfk,2,9,12
51.027071775623874,-114.08341805782882,c3nf7,2,8,12
51.00870372012128,-114.00416671862094,c3nfj,2,8,12
50.99539012706528,-114.0350543262925,c3nfj,2,7,12
50.99542231566167,-114.03503739838736,c3nfj,2,7,12
50.99505730392502,-114.03512216854786,c3nfj,2,7,12
50.86630039800492,-113.96284445702638,c3ncq,2,5,12
50.86509794300916,-113.96299812467346,c3ncq,2,5,12
51.131125821260895,-113.92099224856148,c3nfz,1,22,12
51.15429259330519,-114.0528793128378,c3ngh,1,20,12
51.066747860145846,-114.02205867013224,c3nft,1,20,12
51.16110050034223,-114.12582058424074,c3ng5,1,19,12
51.09995627679963,-113.9587639790516,c3nfw,1,18,12
51.16626971768287,-114.00183329895752,c3ngj,1,17,12
