latitude,longitude,geohash,day,hour,month,label
51.12216565969903,-114.04615450151434,c3nfu,1,5,3,0
51.03240345,-114.0688895,c3p18,1,16,8,0
50.93958093,-114.0859241,c3ncg,3,1,10,0
50.95262483044991,-114.02067145356114,c3ncv,1,16,4,1
51.00183515194761,-114.12954844108611,c3nf4,2,13,4,0
51.1299119224518,-114.2295645653326,c3nfb,3,12,3,0
51.11187502559851,-114.04736401456908,c3nfu,1,4,11,0
50.90302441977404,-113.94630653909245,c3ncx,4,5,5,0
50.98504693,-113.9987836,c3p42,6,9,5,0
51.15413483,-114.0480742,c3nfg,5,2,10,0
51.08852558310106,-114.13435546669946,c3nfd,5,3,8,0
51.13260225325808,-113.94730034164188,c3nfz,3,14,2,0
51.10890014,-114.1645657,c3nff,0,7,11,1
50.88894254,-114.0256515,c3nct,5,15,6,1
50.972246149091255,-114.05918853389667,c3nfx,6,9,1,0
51.0484758,-114.0318789,c3nfm,3,16,9,1
51.16302707,-114.0568164,c3nfd,0,23,7,0
50.92724732834847,-114.03023355403178,c3nct,5,18,8,0
51.15367208,-114.105636,c3ncm,4,7,8,0
51.06601781,-114.1187692,c3nfe,3,10,10,0
50.97058953,-114.036222,c3ndx,0,17,8,0
50.99190267,-114.0363452,c3ng0,4,17,9,0
50.91649281225492,-113.97528278440656,c3ncw,6,23,5,0
51.00107179,-114.121032,c3ncm,6,16,2,0
51.03643099,-114.0221385,c3nfr,3,21,6,0
50.95403238,-114.1295612,c3ndx,1,14,3,0
51.14377124085667,-114.11927414828526,c3nfg,5,11,8,0
51.07419663,-114.1861251,c3nfj,6,19,12,0
51.09216483805546,-114.10664910803447,c3nff,4,6,4,0
51.06601781,-114.1187692,c3nf8,1,10,10,0
51.04287586,-113.9584978,c3ncm,3,20,3,0
51.012636563194,-114.17364801730797,c3nf1,3,2,12,0
50.95059162,-114.0859755,c3nf8,1,13,8,0
50.93686159905336,-114.08098867904032,c3ncu,0,21,1,0
51.06262955,-114.1852331,c3nf4,3,15,9,0
51.0377489291435,-113.9633561254288,c3nfq,5,16,9,1
51.01813511,-114.1660602,c3ncg,2,6,3,0
51.01864707,-114.0627855,c3nfh,3,8,12,1
51.00881491,-114.1592396,c3nf4,4,18,12,1
51.04682089,-114.0738126,c3nfk,1,12,5,1
50.99416483,-114.0392388,c3nf4,4,6,11,0
50.93945486,-114.0694978,c3ncu,0,11,7,1
51.04562684,-113.9352317,c3nfr,6,15,12,1
50.90666029,-114.040624,c3ncs,1,18,10,1
51.11186277,-113.9740521,c3nfy,3,17,8,1
51.15367759,-113.9774059,c3nc7,2,18,5,0
50.96136324,-114.1033372,c3nf0,1,12,11,0
50.99764189,-114.0695921,c3nf0,3,14,11,0
50.88540967078317,-113.94702663799548,c3ncr,3,10,1,0
51.06695899240825,-114.19944184937506,c3nf9,6,10,2,1
51.15442956,-114.0132459,c3ngj,3,9,8,1
51.00827228,-114.017185,c3nck,3,16,7,0
51.13691586,-113.93189,c3nfv,5,20,1,0
51.13659154215929,-113.92119353933738,c3nc7,2,16,11,0
51.09280345936784,-114.10615993103224,c3p48,3,17,12,0
51.11977932913659,-114.04602042787307,c3nfe,6,18,12,0
51.1103317,-114.0715556,c3nfu,5,23,8,0
50.99962097,-114.1166533,c3nf0,2,12,12,0
51.04642014,-114.0604986,c3ncr,5,10,1,0
51.08161333301937,-114.03298279129486,c3ngh,5,15,4,0
50.99415668,-114.0391731,c3nfh,1,21,9,0
51.10671479,-113.9498162,c3nfx,3,21,4,0
51.00871161122664,-114.1136720401767,c3nf9,2,12,12,0
51.00137982656111,-114.06380696754724,c3nct,0,13,12,0
51.04673829,-114.0714771,c3nf0,5,18,3,0
51.05556536769467,-114.03051986953686,c3nf9,5,8,12,0
51.03050478,-114.1528048,c3nf6,5,20,10,1
50.97229737,-113.9641815,c3ncy,4,8,9,0
51.015072763429664,-114.00232599191368,c3nfe,2,6,2,0
50.99964223202073,-114.1151613220858,c3nfg,4,11,9,0
51.03044814,-114.0324861,c3nfm,0,3,5,0
51.00099713,-114.1210713,c3nf5,6,9,5,0
50.972246149091255,-114.05918853389667,c3ncu,6,8,1,0
51.15180546,-114.1703496,c3p48,4,7,12,0
51.11071067362992,-113.94694794111696,c3nfp,5,21,3,0
51.06695899240825,-114.19944184937506,c3nf9,6,7,12,0
51.008672867001,-114.00077018909072,c3nce,3,16,7,0
51.154379817149206,-114.02852004099093,c3ngj,1,9,11,1
51.06664906,-114.00179,c3nft,2,17,1,1
50.999232204922045,-113.95866426880868,c3nfn,3,4,10,0
51.107293864831014,-113.94169586617184,c3nfx,2,15,6,0
51.096733,-113.9838887,c3nfw,0,11,10,1
51.03075677,-114.1643896,c3nf6,6,12,9,0
51.09227092064387,-114.23450568803064,c3nf8,6,3,10,0
50.95044299,-113.9815186,c3ncy,0,10,10,0
50.98956082542927,-113.9590313738898,c3p1b,1,8,7,0
50.9487729,-114.0306453,c3ncv,5,4,5,0
51.06634765956695,-114.02823078536464,c3ncg,0,0,5,0
50.99396602,-114.0540097,c3ng1,4,6,10,0
50.896588395735016,-113.9432175558814,c3nfz,4,14,11,0
51.04533065,-114.0887064,c3nf7,6,8,7,0
51.148779141450404,-113.92886503482421,c3nfz,2,5,6,0
51.00924696056211,-114.14245599165528,c3ncq,1,22,8,0
51.04813424,-113.9829835,c3nfq,4,12,11,1
50.89273981,-114.0637127,c3ncs,5,3,9,0
51.15429259330519,-114.0528793128378,c3ngh,3,19,1,0
51.01270144,-114.1655332,c3nf4,4,20,4,1
51.01486079,-114.0050178,c3nfj,2,1,3,0
51.04800209,-114.0170434,c3nfm,6,2,5,0
51.06709399221767,-113.94043091471153,c3nfx,0,17,6,1
51.09621929,-114.0779076,c3nc7,5,19,11,0
51.05252631983759,-114.09595676146604,c3nff,5,2,8,0
51.09659064,-113.9835624,c3nf8,2,2,8,0
51.04650389,-114.0998631,c3nf7,6,2,5,1
51.15401632611725,-113.9748174701348,c3ngn,5,14,3,0
51.15434793,-113.9288996,c3ngp,1,6,10,0
51.12891771,-114.228811,c3nfb,0,9,3,1
50.9507349,-114.0760234,c3nf9,5,15,10,0
51.07143665,-114.1589313,c3nfd,1,19,8,1
51.11203742,-114.1801879,c3nfn,6,1,2,0
51.13466297,-114.1340681,c3ng1,5,13,1,0
50.88159919850227,-113.96697103682529,c3ncq,0,20,12,1
51.06683532,-113.9691641,c3nfw,3,16,3,1
50.939580932978565,-114.08592412716314,c3ncg,0,16,10,1
51.05425719,-114.1935328,c3nf3,4,0,3,0
50.97590718011312,-114.07169293968266,c3nfg,2,14,1,0
51.09066982,-114.0390386,c3nfs,3,16,5,1
50.96434910073182,-114.07429699410166,c3ncu,1,7,9,0
